1,1,ALT:PARALLELOGRAM-AREA,1
1,2,ALT:PARALLELOGRAM-SIDE,1
1,3,ALT:PARALLELOGRAM-SIDE,1
1,4,ALT:PARALLELOGRAM-AREA,1
1,5,ALT:PARALLELOGRAM-AREA,1
1,6,ALT:COMPOSE-BY-ADDITION,1
1,7,ALT:PARALLELOGRAM-AREA,1
1,8,ALT:PARALLELOGRAM-AREA,1
1,9,ALT:COMPOSE-BY-ADDITION,1
1,10,ALT:PARALLELOGRAM-AREA,1
1,11,ALT:PARALLELOGRAM-AREA,1
1,12,ALT:COMPOSE-BY-ADDITION,1
1,13,ALT:PARALLELOGRAM-AREA,1
1,14,ALT:PARALLELOGRAM-SIDE,0
1,15,ALT:PARALLELOGRAM-SIDE,1
1,16,ALT:PARALLELOGRAM-AREA,1
1,17,ALT:PARALLELOGRAM-SIDE,1
1,18,ALT:PARALLELOGRAM-SIDE,1
1,19,ALT:PARALLELOGRAM-AREA,1
1,20,ALT:PARALLELOGRAM-AREA,0
1,21,ALT:COMPOSE-BY-ADDITION,1
1,22,ALT:PARALLELOGRAM-AREA,1
1,23,ALT:PARALLELOGRAM-AREA,1
1,24,ALT:PARALLELOGRAM-AREA,0
1,25,ALT:COMPOSE-BY-ADDITION,0
1,26,ALT:PARALLELOGRAM-AREA,1
1,27,ALT:COMPOSE-BY-ADDITION,1
1,28,ALT:PARALLELOGRAM-SIDE,1
1,29,ALT:TRAPEZOID-AREA,0
1,30,ALT:TRAPEZOID-HEIGHT,0
1,31,ALT:TRAPEZOID-BASE,0
1,32,ALT:TRAPEZOID-AREA,0
1,33,ALT:TRAPEZOID-BASE,1
1,34,ALT:TRAPEZOID-HEIGHT,0
1,35,ALT:TRAPEZOID-AREA,1
1,36,ALT:TRAPEZOID-HEIGHT,1
1,37,ALT:TRAPEZOID-BASE,1
1,38,ALT:TRAPEZOID-AREA,0
1,39,ALT:TRAPEZOID-BASE,0
1,40,ALT:TRAPEZOID-HEIGHT,0
1,41,ALT:TRAPEZOID-AREA,0
1,42,ALT:TRAPEZOID-HEIGHT,1
1,43,ALT:TRAPEZOID-AREA,0
1,44,ALT:TRAPEZOID-BASE,0
1,45,ALT:TRAPEZOID-HEIGHT,0
1,46,ALT:TRAPEZOID-AREA,1
1,47,ALT:TRAPEZOID-HEIGHT,0
1,48,ALT:TRAPEZOID-BASE,0
1,49,ALT:TRAPEZOID-AREA,1
1,50,ALT:TRAPEZOID-BASE,1
1,51,ALT:TRAPEZOID-HEIGHT,1
